,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
20,2015,2,sepang,raikkonen,Finnish,ferrari,11,4,0,0,12,15,0,2,0.0,35
32,2015,2,sepang,maldonado,Venezuelan,lotus_f1,12,16,0,0,15,0,0,9,0.0,30
30,2015,2,sepang,hulkenberg,German,force_india,13,14,6,0,7,7,0,6,0.0,27
29,2015,2,sepang,perez,Mexican,force_india,14,13,1,0,10,7,0,6,0.0,25
24,2015,2,sepang,sainz,Spanish,toro_rosso,15,8,2,0,9,2,0,7,0.0,20
28,2015,2,sepang,nasr,Brazilian,sauber,16,12,10,0,5,14,0,3,0.0,22
33,2015,2,sepang,button,British,mclaren,17,17,0,0,11,0,0,8,0.0,35
34,2015,2,sepang,alonso,Spanish,mclaren,18,18,0,0,0,0,0,8,0.0,33
31,2015,2,sepang,merhi,Spanish,manor,19,15,0,0,0,0,0,0,0.0,24
1453,2018,12,hungaroring,stroll,Canadian,williams,15,17,4,0,18,4,0,10,0.0,19
1454,2018,12,hungaroring,vandoorne,Belgian,mclaren,16,18,8,0,16,48,0,7,0.0,26
1456,2018,12,hungaroring,leclerc,Monegasque,sauber,17,20,13,0,15,18,0,9,0.0,20
1449,2018,12,hungaroring,ocon,French,force_india,18,13,29,0,11,59,0,5,0.0,21
1450,2018,12,hungaroring,perez,Mexican,force_india,19,14,30,0,10,59,0,5,0.0,28
1465,2018,13,spa,gasly,French,toro_rosso,10,9,26,0,13,28,0,8,0.0,22
1470,2018,13,spa,brendon_hartley,New Zealander,toro_rosso,11,14,2,0,19,28,0,8,0.0,28
1474,2018,13,spa,leclerc,Monegasque,sauber,12,18,13,0,15,18,0,9,0.0,20
1466,2018,13,spa,ericsson,Swedish,sauber,13,10,5,0,17,18,0,9,0.0,27
1467,2018,13,spa,sainz,Spanish,renault,14,11,30,0,11,82,0,4,0.0,23
1475,2018,13,spa,alonso,Spanish,mclaren,15,19,44,0,9,52,0,7,0.0,37
1468,2018,13,spa,sirotkin,Russian,williams,16,12,0,0,20,4,0,10,0.0,22
1460,2018,13,spa,bottas,Finnish,mercedes,19,4,132,0,4,345,5,1,0.0,28
1476,2018,13,spa,hulkenberg,German,renault,20,20,52,0,7,82,0,4,0.0,31
2602,2021,12,spa,leclerc,Monegasque,ferrari,9,8,80,0,7,163,0,3,0.0,23
2603,2021,12,spa,latifi,Canadian,williams,10,9,6,0,15,10,0,8,0.0,26
2604,2021,12,spa,sainz,Spanish,ferrari,11,10,83,0,6,163,0,3,0.0,26
2605,2021,12,spa,alonso,Spanish,alpine,12,11,38,0,11,77,1,5,0.0,40
2612,2021,12,spa,stroll,Canadian,aston_martin,19,20,18,0,14,48,0,7,0.0,22
